id	player	season	label	trait	question	preview	verdict	priority
ben-wallace-2004-switchable-defender	Ben Wallace	2004	2003-04	switchable-defender	Was 2004 Ben Wallace a Switchable Defender?	2004 BEN WALLACE · SWITCHABLE DEFENDER?	qualifies	35
bernard-king-1985-championship-number-one	Bernard King	1985	1984-85	championship-number-one	Could 1985 Bernard King have been the #1 on a championship team?	1985 BERNARD KING · CHAMPIONSHIP #1?	qualifies	35
bernard-king-1985-playmaker	Bernard King	1985	1984-85	playmaker	Was 1985 Bernard King an elite Playmaker?	1985 BERNARD KING · PLAYMAKER?	does_not_qualify	35
bernard-king-1985-tough-shot-maker	Bernard King	1985	1984-85	tough-shot-maker	Was 1985 Bernard King an elite Tough Shot Maker?	1985 BERNARD KING · TOUGH SHOT MAKER?	qualifies	35
bill-walton-1977-championship-number-one	Bill Walton	1977	1976-77	championship-number-one	Could 1977 Bill Walton have been the #1 on a championship team?	1977 BILL WALTON · CHAMPIONSHIP #1?	qualifies	25
bill-walton-1978-championship-number-one	Bill Walton	1978	1977-78	championship-number-one	Could 1978 Bill Walton have been the #1 on a championship team?	1978 BILL WALTON · CHAMPIONSHIP #1?	qualifies	35
bill-walton-1978-rim-protector	Bill Walton	1978	1977-78	rim-protector	Was 1978 Bill Walton an elite Rim Protector?	1978 BILL WALTON · RIM PROTECTOR?	qualifies	35
bill-walton-1978-team-defender	Bill Walton	1978	1977-78	team-defender	Was 1978 Bill Walton an elite Team Defender?	1978 BILL WALTON · TEAM DEFENDER?	qualifies	35
blake-griffin-2014-championship-number-one	Blake Griffin	2014	2013-14	championship-number-one	Could 2014 Blake Griffin have been the #1 on a championship team?	2014 BLAKE GRIFFIN · CHAMPIONSHIP #1?	qualifies	35
blake-griffin-2014-playmaker	Blake Griffin	2014	2013-14	playmaker	Was 2014 Blake Griffin an elite Playmaker?	2014 BLAKE GRIFFIN · PLAYMAKER?	qualifies	35
blake-griffin-2014-rim-protector	Blake Griffin	2014	2013-14	rim-protector	Was 2014 Blake Griffin an elite Rim Protector?	2014 BLAKE GRIFFIN · RIM PROTECTOR?	does_not_qualify	35
bob-mcadoo-1975-championship-number-one	Bob McAdoo	1975	1974-75	championship-number-one	Could 1975 Bob McAdoo have been the #1 on a championship team?	1975 BOB MCADOO · CHAMPIONSHIP #1?	qualifies	35
bob-mcadoo-1975-iso-defender	Bob McAdoo	1975	1974-75	iso-defender	Was 1975 Bob McAdoo an elite Iso Defender?	1975 BOB MCADOO · ISO DEFENDER?	does_not_qualify	35
bob-mcadoo-1975-tough-shot-maker	Bob McAdoo	1975	1974-75	tough-shot-maker	Was 1975 Bob McAdoo an elite Tough Shot Maker?	1975 BOB MCADOO · TOUGH SHOT MAKER?	qualifies	35
bobby-jones-1977-championship-number-one	Bobby Jones	1977	1976-77	championship-number-one	Could 1977 Bobby Jones have been the #1 on a championship team?	1977 BOBBY JONES · CHAMPIONSHIP #1?	does_not_qualify	35
bobby-jones-1977-switchable-defender	Bobby Jones	1977	1976-77	switchable-defender	Was 1977 Bobby Jones a Switchable Defender?	1977 BOBBY JONES · SWITCHABLE DEFENDER?	qualifies	35
bobby-jones-1977-team-defender	Bobby Jones	1977	1976-77	team-defender	Was 1977 Bobby Jones an elite Team Defender?	1977 BOBBY JONES · TEAM DEFENDER?	qualifies	35
brandon-roy-2009-championship-number-one	Brandon Roy	2009	2008-09	championship-number-one	Could 2009 Brandon Roy have been the #1 on a championship team?	2009 BRANDON ROY · CHAMPIONSHIP #1?	qualifies	35
brandon-roy-2009-playmaker	Brandon Roy	2009	2008-09	playmaker	Was 2009 Brandon Roy an elite Playmaker?	2009 BRANDON ROY · PLAYMAKER?	qualifies	35
brandon-roy-2009-tough-shot-maker	Brandon Roy	2009	2008-09	tough-shot-maker	Was 2009 Brandon Roy an elite Tough Shot Maker?	2009 BRANDON ROY · TOUGH SHOT MAKER?	qualifies	35
carmelo-anthony-2006-ball-stopper	Carmelo Anthony	2006	2005-06	ball-stopper	Was 2006 Carmelo Anthony a Ball Stopper?	2006 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2007-ball-stopper	Carmelo Anthony	2007	2006-07	ball-stopper	Was 2007 Carmelo Anthony a Ball Stopper?	2007 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2008-ball-stopper	Carmelo Anthony	2008	2007-08	ball-stopper	Was 2008 Carmelo Anthony a Ball Stopper?	2008 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2009-ball-stopper	Carmelo Anthony	2009	2008-09	ball-stopper	Was 2009 Carmelo Anthony a Ball Stopper?	2009 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2010-ball-stopper	Carmelo Anthony	2010	2009-10	ball-stopper	Was 2010 Carmelo Anthony a Ball Stopper?	2010 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2011-ball-stopper	Carmelo Anthony	2011	2010-11	ball-stopper	Was 2011 Carmelo Anthony a Ball Stopper?	2011 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2012-ball-stopper	Carmelo Anthony	2012	2011-12	ball-stopper	Was 2012 Carmelo Anthony a Ball Stopper?	2012 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2013-iso-defender	Carmelo Anthony	2013	2012-13	iso-defender	Could 2013 Melo hold up guarding the ball?	2013 MELO · HOLD UP ON DEFENSE?	does_not_qualify	86
carmelo-anthony-2013-off-ball-scorer	Carmelo Anthony	2013	2012-13	off-ball-scorer	Could 2013 Melo score without holding the ball?	2013 MELO · OFF-BALL SCORER?		84
carmelo-anthony-2014-ball-stopper	Carmelo Anthony	2014	2013-14	ball-stopper	Was 2014 Carmelo Anthony a Ball Stopper?	2014 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
carmelo-anthony-2015-ball-stopper	Carmelo Anthony	2015	2014-15	ball-stopper	Was 2015 Carmelo Anthony a Ball Stopper?	2015 CARMELO ANTHONY · BALL STOPPER?	qualifies	45
cedric-maxwell-1981-championship-number-one	Cedric Maxwell	1981	1980-81	championship-number-one	Could 1981 Cedric Maxwell have been the #1 on a championship team?	1981 CEDRIC MAXWELL · CHAMPIONSHIP #1?	qualifies	25
charles-barkley-1993-championship-number-one	Charles Barkley	1993	1992-93	championship-number-one	Could 1993 Charles Barkley have been the #1 on a championship team?	1993 CHARLES BARKLEY · CHAMPIONSHIP #1?	qualifies	35
charles-barkley-1993-rim-pressurer	Charles Barkley	1993	1992-93	rim-pressurer	Was 1993 Charles Barkley a Rim Pressurer?	1993 CHARLES BARKLEY · RIM PRESSURER?	qualifies	35
charles-barkley-1993-team-defender	Charles Barkley	1993	1992-93	team-defender	Was 1993 Charles Barkley an elite Team Defender?	1993 CHARLES BARKLEY · TEAM DEFENDER?	does_not_qualify	35
chauncey-billups-2004-championship-number-one	Chauncey Billups	2004	2003-04	championship-number-one	Could 2004 Chauncey Billups have been the #1 on a championship team?	2004 CHAUNCEY BILLUPS · CHAMPIONSHIP #1?	qualifies	25
chauncey-billups-2006-championship-number-one	Chauncey Billups	2006	2005-06	championship-number-one	Could 2006 Chauncey Billups have been the #1 on a championship team?	2006 CHAUNCEY BILLUPS · CHAMPIONSHIP #1?	qualifies	35
chauncey-billups-2006-clutch	Chauncey Billups	2006	2005-06	clutch	Was 2006 Chauncey Billups clutch?	2006 CHAUNCEY BILLUPS · CLUTCH?	qualifies	35
chauncey-billups-2006-playmaker	Chauncey Billups	2006	2005-06	playmaker	Was 2006 Chauncey Billups an elite Playmaker?	2006 CHAUNCEY BILLUPS · PLAYMAKER?	qualifies	35
chris-mullin-1990-off-ball-scorer	Chris Mullin	1990	1989-90	off-ball-scorer	Was 1990 Chris Mullin an elite Off-Ball Scorer?	1990 CHRIS MULLIN · OFF-BALL SCORER?	qualifies	35
chris-mullin-1990-team-defender	Chris Mullin	1990	1989-90	team-defender	Was 1990 Chris Mullin an elite Team Defender?	1990 CHRIS MULLIN · TEAM DEFENDER?	does_not_qualify	35
chris-mullin-1990-tough-shot-maker	Chris Mullin	1990	1989-90	tough-shot-maker	Was 1990 Chris Mullin an elite Tough Shot Maker?	1990 CHRIS MULLIN · TOUGH SHOT MAKER?	qualifies	35
chris-paul-2006-ball-pounder	Chris Paul	2006	2005-06	ball-pounder	Was 2006 Chris Paul a Ball Pounder?	2006 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2007-ball-pounder	Chris Paul	2007	2006-07	ball-pounder	Was 2007 Chris Paul a Ball Pounder?	2007 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2008-iso-defender	Chris Paul	2008	2007-08	iso-defender	Was 2008 Chris Paul an elite Iso Defender?	2008 CHRIS PAUL · ISO DEFENDER?	qualifies	35
chris-paul-2009-ball-pounder	Chris Paul	2009	2008-09	ball-pounder	Was 2009 Chris Paul a Ball Pounder?	2009 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2010-ball-pounder	Chris Paul	2010	2009-10	ball-pounder	Was 2010 Chris Paul a Ball Pounder?	2010 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2011-ball-pounder	Chris Paul	2011	2010-11	ball-pounder	Was 2011 Chris Paul a Ball Pounder?	2011 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2012-ball-pounder	Chris Paul	2012	2011-12	ball-pounder	Was 2012 Chris Paul a Ball Pounder?	2012 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2013-ball-pounder	Chris Paul	2013	2012-13	ball-pounder	Was 2013 Chris Paul a Ball Pounder?	2013 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2014-ball-pounder	Chris Paul	2014	2013-14	ball-pounder	Was 2014 Chris Paul a Ball Pounder?	2014 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2015-ball-pounder	Chris Paul	2015	2014-15	ball-pounder	Was 2015 Chris Paul a Ball Pounder?	2015 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2016-ball-pounder	Chris Paul	2016	2015-16	ball-pounder	Was 2016 Chris Paul a Ball Pounder?	2016 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2017-ball-pounder	Chris Paul	2017	2016-17	ball-pounder	Was 2017 Chris Paul a Ball Pounder?	2017 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2018-ball-pounder	Chris Paul	2018	2017-18	ball-pounder	Was 2018 Chris Paul a Ball Pounder?	2018 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2019-ball-pounder	Chris Paul	2019	2018-19	ball-pounder	Was 2019 Chris Paul a Ball Pounder?	2019 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2020-ball-pounder	Chris Paul	2020	2019-20	ball-pounder	Was 2020 Chris Paul a Ball Pounder?	2020 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2021-ball-pounder	Chris Paul	2021	2020-21	ball-pounder	Was 2021 Chris Paul a Ball Pounder?	2021 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2022-ball-pounder	Chris Paul	2022	2021-22	ball-pounder	Was 2022 Chris Paul a Ball Pounder?	2022 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2023-ball-pounder	Chris Paul	2023	2022-23	ball-pounder	Was 2023 Chris Paul a Ball Pounder?	2023 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2024-ball-pounder	Chris Paul	2024	2023-24	ball-pounder	Was 2024 Chris Paul a Ball Pounder?	2024 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2025-ball-pounder	Chris Paul	2025	2024-25	ball-pounder	Was 2025 Chris Paul a Ball Pounder?	2025 CHRIS PAUL · BALL POUNDER?	qualifies	40
chris-paul-2026-ball-pounder	Chris Paul	2026	2025-26	ball-pounder	Was 2026 Chris Paul a Ball Pounder?	2026 CHRIS PAUL · BALL POUNDER?	qualifies	40
clyde-drexler-1992-championship-number-one	Clyde Drexler	1992	1991-92	championship-number-one	Could 1992 Clyde Drexler have been the #1 on a championship team?	1992 CLYDE DREXLER · CHAMPIONSHIP #1?	qualifies	35
clyde-drexler-1992-playmaker	Clyde Drexler	1992	1991-92	playmaker	Was 1992 Clyde Drexler an elite Playmaker?	1992 CLYDE DREXLER · PLAYMAKER?	qualifies	35
clyde-drexler-1992-rim-pressurer	Clyde Drexler	1992	1991-92	rim-pressurer	Was 1992 Clyde Drexler a Rim Pressurer?	1992 CLYDE DREXLER · RIM PRESSURER?	qualifies	35
dale-ellis-1989-team-defender	Dale Ellis	1989	1988-89	team-defender	Was 1989 Dale Ellis an elite Team Defender?	1989 DALE ELLIS · TEAM DEFENDER?	does_not_qualify	35
dale-ellis-1989-three-point-shooter	Dale Ellis	1989	1988-89	three-point-shooter	Was 1989 Dale Ellis a Three-Point Shooter?	1989 DALE ELLIS · THREE-POINT SHOOTER?	qualifies	35
dale-ellis-1989-tough-shot-maker	Dale Ellis	1989	1988-89	tough-shot-maker	Was 1989 Dale Ellis an elite Tough Shot Maker?	1989 DALE ELLIS · TOUGH SHOT MAKER?	qualifies	35
damian-lillard-2020-championship-number-one	Damian Lillard	2020	2019-20	championship-number-one	Could 2020 Damian Lillard have been the #1 on a championship team?	2020 DAMIAN LILLARD · CHAMPIONSHIP #1?	qualifies	35
damian-lillard-2020-clutch	Damian Lillard	2020	2019-20	clutch	Was 2020 Dame clutch?	2020 DAME · CLUTCH?	qualifies	95
damian-lillard-2020-iso-defender	Damian Lillard	2020	2019-20	iso-defender	Was 2020 Damian Lillard an elite Iso Defender?	2020 DAMIAN LILLARD · ISO DEFENDER?	does_not_qualify	35
damian-lillard-2020-playmaker	Damian Lillard	2020	2019-20	playmaker	Was 2020 Damian Lillard an elite Playmaker?	2020 DAMIAN LILLARD · PLAYMAKER?	qualifies	35
damian-lillard-2020-super-three-point-shooter	Damian Lillard	2020	2019-20	super-three-point-shooter	Did 2020 Damian Lillard have gravity?	2020 DAME · GRAVITY?		89
david-robinson-1995-championship-number-one	David Robinson	1995	1994-95	championship-number-one	Could 1995 David Robinson have been the #1 on a championship team?	1995 DAVID ROBINSON · CHAMPIONSHIP #1?	qualifies	35
david-robinson-1995-clutch	David Robinson	1995	1994-95	clutch	Was 1995 David Robinson clutch?	1995 DAVID ROBINSON · CLUTCH?	does_not_qualify	35
david-robinson-1995-rim-protector	David Robinson	1995	1994-95	rim-protector	Was 1995 David Robinson an elite Rim Protector?	1995 DAVID ROBINSON · RIM PROTECTOR?	qualifies	35
david-thompson-1978-championship-number-one	David Thompson	1978	1977-78	championship-number-one	Could 1978 David Thompson have been the #1 on a championship team?	1978 DAVID THOMPSON · CHAMPIONSHIP #1?	qualifies	35
david-thompson-1978-off-ball-scorer	David Thompson	1978	1977-78	off-ball-scorer	Was 1978 David Thompson an elite Off-Ball Scorer?	1978 DAVID THOMPSON · OFF-BALL SCORER?	qualifies	35
david-thompson-1978-team-defender	David Thompson	1978	1977-78	team-defender	Was 1978 David Thompson an elite Team Defender?	1978 DAVID THOMPSON · TEAM DEFENDER?	does_not_qualify	35
demar-derozan-2018-rim-pressurer	DeMar DeRozan	2018	2017-18	rim-pressurer	Did 2018 DeMar DeRozan attack the rim?	2018 DEROZAN · REAL RIM PRESSURE?		86
demarcus-cousins-2017-ball-pounder	DeMarcus Cousins	2017	2016-17	ball-pounder	Was 2017 DeMarcus Cousins a Ball Pounder?	2017 DEMARCUS COUSINS · BALL POUNDER?	qualifies	35
demarcus-cousins-2017-team-defender	DeMarcus Cousins	2017	2016-17	team-defender	Was 2017 DeMarcus Cousins an elite Team Defender?	2017 DEMARCUS COUSINS · TEAM DEFENDER?	does_not_qualify	35
demarcus-cousins-2017-tough-shot-maker	DeMarcus Cousins	2017	2016-17	tough-shot-maker	Was 2017 DeMarcus Cousins an elite Tough Shot Maker?	2017 DEMARCUS COUSINS · TOUGH SHOT MAKER?	qualifies	35
dennis-johnson-1979-championship-number-one	Dennis Johnson	1979	1978-79	championship-number-one	Could 1979 Dennis Johnson have been the #1 on a championship team?	1979 DENNIS JOHNSON · CHAMPIONSHIP #1?	qualifies	25
dennis-johnson-1986-clutch	Dennis Johnson	1986	1985-86	clutch	Was 1986 Dennis Johnson clutch?	1986 DENNIS JOHNSON · CLUTCH?	qualifies	35
dennis-johnson-1986-iso-defender	Dennis Johnson	1986	1985-86	iso-defender	Was 1986 Dennis Johnson an elite Iso Defender?	1986 DENNIS JOHNSON · ISO DEFENDER?	qualifies	35
dennis-johnson-1986-team-defender	Dennis Johnson	1986	1985-86	team-defender	Was 1986 Dennis Johnson an elite Team Defender?	1986 DENNIS JOHNSON · TEAM DEFENDER?	qualifies	35
dennis-rodman-1992-championship-number-one	Dennis Rodman	1992	1991-92	championship-number-one	Could 1992 Dennis Rodman have been the #1 on a championship team?	1992 DENNIS RODMAN · CHAMPIONSHIP #1?	does_not_qualify	35
dennis-rodman-1992-switchable-defender	Dennis Rodman	1992	1991-92	switchable-defender	Was 1992 Dennis Rodman a Switchable Defender?	1992 DENNIS RODMAN · SWITCHABLE DEFENDER?	qualifies	35
dennis-rodman-1992-team-defender	Dennis Rodman	1992	1991-92	team-defender	Was 1992 Dennis Rodman an elite Team Defender?	1992 DENNIS RODMAN · TEAM DEFENDER?	qualifies	35
devin-booker-2021-tough-shot-maker	Devin Booker	2021	2020-21	tough-shot-maker	Was 2021 Booker already an elite tough shot maker?	2021 BOOKER · ELITE TOUGH SHOTS?		85
dikembe-mutombo-1997-playmaker	Dikembe Mutombo	1997	1996-97	playmaker	Was 1997 Dikembe Mutombo an elite Playmaker?	1997 DIKEMBE MUTOMBO · PLAYMAKER?	does_not_qualify	35
dikembe-mutombo-1997-rim-protector	Dikembe Mutombo	1997	1996-97	rim-protector	Was 1997 Dikembe Mutombo an elite Rim Protector?	1997 DIKEMBE MUTOMBO · RIM PROTECTOR?	qualifies	35
